date,home_team,away_team,home_score,away_score,tournament
6/14/2018,Russia,Saudi Arabia,0,0,FIFA World Cup
6/15/2018,Egypt,Uruguay,0,0,FIFA World Cup
6/15/2018,Morocco,Iran,0,0,FIFA World Cup
6/15/2018,Portugal,Spain,0,0,FIFA World Cup
6/16/2018,France,Australia,0,0,FIFA World Cup
6/16/2018,Argentina,Iceland,0,0,FIFA World Cup
6/16/2018,Peru,Denmark,0,0,FIFA World Cup
6/16/2018,Croatia,Nigeria,0,0,FIFA World Cup
6/17/2018,Costa Rica,Serbia,0,0,FIFA World Cup
6/17/2018,Germany,Mexico,0,0,FIFA World Cup
6/17/2018,Brazil,Switzerland,0,0,FIFA World Cup
6/18/2018,Sweden,Korea Republic,0,0,FIFA World Cup
6/18/2018,Belgium,Panama,0,0,FIFA World Cup
6/18/2018,Tunisia,England,0,0,FIFA World Cup
6/19/2018,Colombia,Japan,0,0,FIFA World Cup
6/19/2018,Poland,Senegal,0,0,FIFA World Cup
6/19/2018,Russia,Egypt,0,0,FIFA World Cup
6/20/2018,Portugal,Morocco,0,0,FIFA World Cup
6/20/2018,Uruguay,Saudi Arabia,0,0,FIFA World Cup
6/20/2018,Iran,Spain,0,0,FIFA World Cup
6/21/2018,Denmark,Australia,0,0,FIFA World Cup
6/21/2018,France,Peru,0,0,FIFA World Cup
6/21/2018,Argentina,Croatia,0,0,FIFA World Cup
6/22/2018,Brazil,Costa Rica,0,0,FIFA World Cup
6/22/2018,Nigeria,Iceland,0,0,FIFA World Cup
6/22/2018,Serbia,Switzerland,0,0,FIFA World Cup
6/23/2018,Belgium,Tunisia,0,0,FIFA World Cup
6/23/2018,Korea Republic,Mexico,0,0,FIFA World Cup
6/23/2018,Germany,Sweden,0,0,FIFA World Cup
6/24/2018,England,Panama,0,0,FIFA World Cup
6/24/2018,Japan,Senegal,0,0,FIFA World Cup
6/24/2018,Poland,Colombia,0,0,FIFA World Cup
6/25/2018,Uruguay,Russia,0,0,FIFA World Cup
6/25/2018,Saudi Arabia,Egypt,0,0,FIFA World Cup
6/25/2018,Iran,Portugal,0,0,FIFA World Cup
6/25/2018,Spain,Morocco,0,0,FIFA World Cup
6/26/2018,Denmark,France,0,0,FIFA World Cup
6/26/2018,Australia,Peru,0,0,FIFA World Cup
6/26/2018,Nigeria,Argentina,0,0,FIFA World Cup
6/26/2018,Iceland,Croatia,0,0,FIFA World Cup
6/27/2018,Mexico,Sweden,0,0,FIFA World Cup
6/27/2018,Korea Republic,Germany,0,0,FIFA World Cup
6/27/2018,Serbia,Brazil,0,0,FIFA World Cup
6/27/2018,Switzerland,Costa Rica,0,0,FIFA World Cup
6/28/2018,Japan,Poland,0,0,FIFA World Cup
6/28/2018,Senegal,Colombia,0,0,FIFA World Cup
6/28/2018,Panama,Tunisia,0,0,FIFA World Cup
6/28/2018,England,Belgium,0,0,FIFA World Cup
